rank,name,position,school,height,weight,age,hand,arm,wingspan,forty,ten_split,vertical,broad,three_cone,shuttle,bench,ras,profile
1,Arch Manning,QB,Texas,"6'4""",219,--,--,--,--,--,--,--,--,--,--,--,--,/players/arch-manning.html
2,Dante Moore,QB,Oregon,"6'3""",206,--,--,--,--,--,--,--,--,--,--,--,--,/players/dante-moore.html
3,Jeremiah Smith,WR,Ohio State,"6'3""",223,--,--,--,--,--,--,--,--,--,--,--,--,/players/jeremiah-smith.html
4,DJ Lagway,QB,Baylor,"6'3""",247,--,--,--,--,--,--,--,--,--,--,--,--,/players/dj-lagway.html
5,Julian Sayin,QB,Ohio State,"6'1""",208,--,--,--,--,--,--,--,--,--,--,--,--,/players/julian-sayin.html
6,Ryan Williams,WR,Alabama,"6'0""",178,--,--,--,--,--,--,--,--,--,--,--,--,/players/ryan-williams.html
7,Colin Simmons,EDGE,Texas,"6'3""",240,--,--,--,--,--,--,--,--,--,--,--,--,/players/colin-simmons.html
8,Dylan Stewart,EDGE,South Carolina,"6'5""",245,--,--,--,--,--,--,--,--,--,--,--,--,/players/dylan-stewart.html
9,Leonard Moore,CB,Notre Dame,"6'2""",195,--,--,--,--,--,--,--,--,--,--,--,--,/players/leonard-moore.html
10,Jordan Ross,DL,LSU,"6'5""",245,--,--,--,--,--,--,--,--,--,--,--,--,/players/jordan-ross.html
11,David Stone,DL,Oklahoma,"6'3""",310,--,--,--,--,--,--,--,--,--,--,--,--,/players/david-stone.html
12,OJ Frederique Jr.,CB,Miami (FL),"6'0""",180,--,--,--,--,--,--,--,--,--,--,--,--,/players/oj-frederique-jr.html
13,A'Mauri Washington,DL,Oregon,"6'3""",330,--,--,--,--,--,--,--,--,--,--,--,--,/players/amauri-washington.html
14,Cam Coleman,WR,Texas,"6'3""",201,--,--,--,--,--,--,--,--,--,--,--,--,/players/cam-coleman.html
15,Trevor Goosby,OT,Texas,"6'7""",312,--,--,--,--,--,--,--,--,--,--,--,--,/players/trevor-goosby.html
16,Ahmad Hardy,RB,Missouri,"5'10""",206,--,--,--,--,--,--,--,--,--,--,--,--,/players/ahmad-hardy.html
17,Koi Perich,S,Oregon,"6'1""",200,--,--,--,--,--,--,--,--,--,--,--,--,/players/koi-perich.html
18,Ellis Robinson IV,CB,Georgia,"6'0""",180,--,--,--,--,--,--,--,--,--,--,--,--,/players/ellis-robinson-iv.html
19,Jayden Jackson,DL,Oklahoma State,"6'2""",322,--,--,--,--,--,--,--,--,--,--,--,--,/players/jayden-jackson.html
20,Justin Scott,DL,Miami (FL),"6'4""",298,--,--,--,--,--,--,--,--,--,--,--,--,/players/justin-scott.html
21,Ashton Hampton,CB,Clemson,"6'2""",200,--,--,--,--,--,--,--,--,--,--,--,--,/players/ashton-hampton.html
22,Nate Frazier,RB,Georgia,"5'10""",210,--,--,--,--,--,--,--,--,--,--,--,--,/players/nate-frazier.html
23,KJ Bolden,S,Georgia,"6'0""",185,--,--,--,--,--,--,--,--,--,--,--,--,/players/kj-bolden.html
24,Sammy Brown,LB,Clemson,"6'2""",235,--,--,--,--,--,--,--,--,--,--,--,--,/players/sammy-brown.html
25,Eli Bowen,CB,Oklahoma,"5'9""",183,--,--,--,--,--,--,--,--,--,--,--,--,/players/eli-bowen.html
